urn,summary,type,firstname,lastname,numViews,numLikes,numComments,numShares,engagementRate,numEmojies,numHashtags,numLinks,hashtags,labels,createdAt,link
"urn:li:activity:7010974594912141312","I wish everyone in their...","Image","Ankur","Warikoo","264030","3688","114","114",0.014831647918797106,1,4,0,"20s,job,career,warikoo","","2022-12-20 20:32:06","https://www.linkedin.com/feed/update/urn:li:activity:7010974594912141312"
"urn:li:activity:7010916901925076993","Nobody talks about the t...","Video (native)","Ankur","Warikoo","147043","5360","156","51",0.03785967370089022,0,2,0,"NetflixPlayback2022,warikoo","","2022-12-20 16:33:33","https://www.linkedin.com/feed/update/urn:li:activity:7010916901925076993"
"urn:li:activity:7010800975934337024","I shoot ALL my week’s co...","Image","Ankur","Warikoo","197173","2308","117","14",0.012369847798633687,0,4,0,"success,schedule,contentcreator,warikoo","","2022-12-20 08:34:40","https://www.linkedin.com/feed/update/urn:li:activity:7010800975934337024"
"urn:li:activity:7010582033303269376","Did Epic Shit with Netfl...","Image","Ankur","Warikoo","467664","7123","153","5",0.015568869957918506,1,2,0,"NetflixPlayback2022,warikoo","","2022-12-19 18:16:05","https://www.linkedin.com/feed/update/urn:li:activity:7010582033303269376"
"urn:li:activity:7010536709549375489","5 signs of a toxic manag...","Text","Ankur","Warikoo","569061","7512","240","276",0.014107450695092442,0,4,0,"manager,success,awareness,warikoo","","2022-12-19 15:02:24","https://www.linkedin.com/feed/update/urn:li:activity:7010536709549375489"
"urn:li:activity:7010449529632108544","11 things that money CAN...","Document","Ankur","Warikoo","909439","6856","250","417",0.008272132600427296,0,0,0,"","","2022-12-19 09:29:59","https://www.linkedin.com/feed/update/urn:li:activity:7010449529632108544"
"urn:li:activity:7010242564058451968","I am in Kerala as I writ...","Image","Ankur","Warikoo","94291","1239","57","4",0.013787105874367649,0,5,1,"book,gratitude,bestseller,getepicshitdone,warikoo","","2022-12-18 19:36:15","https://www.linkedin.com/feed/update/urn:li:activity:7010242564058451968"
"urn:li:activity:7010174321746718720","One of the biggest mista...","Text","Ankur","Warikoo","196361","1837","68","37",0.009889947596518657,0,4,0,"money,freedom,mistake,warikoo","","2022-12-18 15:26:25","https://www.linkedin.com/feed/update/urn:li:activity:7010174321746718720"
"urn:li:activity:7010076175007920128","","Image","Ankur","Warikoo","832096","21714","292","450",0.02698727069953467,0,0,0,"","","2022-12-18 08:33:30","https://www.linkedin.com/feed/update/urn:li:activity:7010076175007920128"
"urn:li:activity:7009887531882180609","I am often fascinated by...","Image","Ankur","Warikoo","103807","1700","41","7",0.016838941497201537,0,5,1,"parents,love,family,podcast,warikoo","","2022-12-17 20:19:04","https://www.linkedin.com/feed/update/urn:li:activity:7009887531882180609"
"urn:li:activity:7009812054467342336","Since 2022 is the year w...","Image","Ankur","Warikoo","117827","1716","82","4",0.015293608425912568,0,4,0,"life,family,reflections,warikoo","","2022-12-17 15:19:29","https://www.linkedin.com/feed/update/urn:li:activity:7009812054467342336"
"urn:li:activity:7009713787226238976","It does not matter if yo...","Text","Ankur","Warikoo","293573","3935","174","57",0.01419067829807237,0,4,0,"reading,habits,success,warikoo","","2022-12-17 08:47:56","https://www.linkedin.com/feed/update/urn:li:activity:7009713787226238976"
"urn:li:activity:7009451812948733953","LinkedIn, do you believe...","Poll","Ankur","Warikoo","798717","572","191","9",0.0009665501047304614,0,4,0,"career,job,poll,warikoo","","2022-12-16 15:16:01","https://www.linkedin.com/feed/update/urn:li:activity:7009451812948733953"
"urn:li:activity:7009351401646518272","One of those days when I...","Video (native)","Ankur","Warikoo","167111","2467","57","9",0.015157589865418793,0,4,0,"avatar,speaker,indiatoday,warikoo","","2022-12-16 08:49:48","https://www.linkedin.com/feed/update/urn:li:activity:7009351401646518272"
"urn:li:activity:7009162803416567808","I can’t keep quiet!
My n...","Image","Ankur","Warikoo","117316","1818","88","9",0.016323434143680315,0,4,1,"book,getepicshitdone,doepicshit,warikoo","","2022-12-15 20:37:28","https://www.linkedin.com/feed/update/urn:li:activity:7009162803416567808"
"urn:li:activity:7009087303545446400","We all love being a rebe...","Image","Ankur","Warikoo","85650","1282","34","4",0.015411558669001752,0,4,0,"awareness,beyou,corporatetalks,warikoo","","2022-12-15 15:13:10","https://www.linkedin.com/feed/update/urn:li:activity:7009087303545446400"
"urn:li:activity:7008989011633430528","No one is going to do it...","Document","Ankur","Warikoo","291570","1950","110","89",0.00737044277531982,0,4,0,"selfawareness,action,selflove,warikoo","","2022-12-15 08:52:21","https://www.linkedin.com/feed/update/urn:li:activity:7008989011633430528"
"urn:li:activity:7008724894569914368","One of my favourite thin...","Image","Ankur","Warikoo","203740","2719","82","2",0.013757730440757829,0,4,0,"hiring,process,team,warikoo","","2022-12-14 15:17:18","https://www.linkedin.com/feed/update/urn:li:activity:7008724894569914368"
"urn:li:activity:7008626740356927490","“I trust you!”

The thre...","Text","Ankur","Warikoo","132156","1624","94","30",0.013226792578467872,0,0,0,"","","2022-12-14 08:45:47","https://www.linkedin.com/feed/update/urn:li:activity:7008626740356927490"
"urn:li:activity:7008437996706246656","Start because you want t...","Text","Ankur","Warikoo","231813","2698","102","93",0.012479886805312902,0,4,0,"startup,founder,entrepreneurship,warikoo","","2022-12-13 20:01:01","https://www.linkedin.com/feed/update/urn:li:activity:7008437996706246656"
"urn:li:activity:7008362507706765313","Look around you.
Everyon...","Image","Ankur","Warikoo","235635","3378","126","33",0.015010503533006557,0,0,1,"","","2022-12-13 15:02:38","https://www.linkedin.com/feed/update/urn:li:activity:7008362507706765313"
"urn:li:activity:7008275912110551040","Truth…

From the book

h...","Text","Ankur","Warikoo","177714","3145","55","0",0.018006459817459512,0,0,1,"","","2022-12-13 10:02:19","https://www.linkedin.com/feed/update/urn:li:activity:7008275912110551040"
"urn:li:activity:7008264235633766401","“This is beast mode for ...","Image","Ankur","Warikoo","434283","3983","160","6",0.009553678131540953,0,4,0,"content,schedule,creativity,warikoo","","2022-12-13 09:00:30","https://www.linkedin.com/feed/update/urn:li:activity:7008264235633766401"
"urn:li:activity:7008000135460712448","Do you find yourself dea...","Image","Ankur","Warikoo","198534","1988","67","23",0.01046672106540945,0,4,0,"colleagues,work,team,warikoo","","2022-12-12 15:27:19","https://www.linkedin.com/feed/update/urn:li:activity:7008000135460712448"
"urn:li:activity:7007901847868850176","11 shocking facts about ...","Document","Ankur","Warikoo","1231528","9138","239","786",0.008252349926270454,0,0,0,"","","2022-12-12 08:31:15","https://www.linkedin.com/feed/update/urn:li:activity:7007901847868850176"
"urn:li:activity:7007678182065618944","The one who gave the sna...","Text","Ankur","Warikoo","30099","246","14","0",0.008638160736237084,0,0,0,"","","2022-12-11 17:51:50","https://www.linkedin.com/feed/update/urn:li:activity:7007678182065618944"
"urn:li:activity:7007637606750384128","","Image","Ankur","Warikoo","523241","14315","109","135",0.027824654413549397,0,0,0,"","","2022-12-11 15:07:48","https://www.linkedin.com/feed/update/urn:li:activity:7007637606750384128"
"urn:li:activity:7007541431833669632","If you’re a student foun...","Document","Ankur","Warikoo","135008","902","38","41",0.007266236074899265,0,0,1,"","","2022-12-11 08:38:08","https://www.linkedin.com/feed/update/urn:li:activity:7007541431833669632"
"urn:li:activity:7007350814868443136","Our parents mean everyth...","Text","Ankur","Warikoo","71369","427","24","2",0.006347293642898177,0,0,1,"","","2022-12-10 20:07:52","https://www.linkedin.com/feed/update/urn:li:activity:7007350814868443136"
"urn:li:activity:7007275347129843712","""What are you most worri...","Image","Ankur","Warikoo","77831","821","21","5",0.010882553224293661,0,4,0,"habits,goals,success,warikoo","","2022-12-10 15:17:23","https://www.linkedin.com/feed/update/urn:li:activity:7007275347129843712"
"urn:li:activity:7007177179667021824","This is one of the fonde...","Image","Ankur","Warikoo","252425","3885","129","20",0.015980984450826977,0,4,0,"teacher,education,help,warikoo","","2022-12-10 08:39:39","https://www.linkedin.com/feed/update/urn:li:activity:7007177179667021824"
"urn:li:activity:7006918304795652097","How would you choose to ...","Poll","Ankur","Warikoo","556188","385","93","8",0.0008738052600919114,0,4,0,"work,time,choices,warikoo","","2022-12-09 16:18:14","https://www.linkedin.com/feed/update/urn:li:activity:7006918304795652097"
"urn:li:activity:7006845520228835328","2 years back - and still...","Text","Ankur","Warikoo","10463","68","9","0",0.0073592659848991685,0,0,0,"","","2022-12-09 10:43:41","https://www.linkedin.com/feed/update/urn:li:activity:7006845520228835328"
"urn:li:activity:7006845087158550528","One of my fav lessons in...","Text","Ankur","Warikoo","12056","113","15","0",0.010617120106171201,0,0,0,"","","2022-12-09 10:43:41","https://www.linkedin.com/feed/update/urn:li:activity:7006845087158550528"
"urn:li:activity:7006824552223633408","3 sad lies the world tel...","Video (native)","Ankur","Warikoo","243978","2975","148","135",0.013353663035191697,0,4,0,"job,awareness,world,warikoo","","2022-12-09 09:39:32","https://www.linkedin.com/feed/update/urn:li:activity:7006824552223633408"
"urn:li:activity:7006625936599068672","My new book Get Epic Shi...","Image","Ankur","Warikoo","37072","371","19","3",0.010600992662926198,0,4,1,"book,reading,getepicshitdone,warikoo","","2022-12-08 20:19:11","https://www.linkedin.com/feed/update/urn:li:activity:7006625936599068672"
"urn:li:activity:7006550595763367936","Recently I got an email ...","Image","Ankur","Warikoo","181416","2356","109","11",0.013648189795828372,0,4,0,"jee,education,money,warikoo","","2022-12-08 15:07:39","https://www.linkedin.com/feed/update/urn:li:activity:7006550595763367936"
"urn:li:activity:7006452296599408640","How I read my books

A t...","Document","Ankur","Warikoo","419040","2900","136","75",0.007424112256586483,0,4,0,"books,reading,lessons,warikoo","","2022-12-08 08:44:19","https://www.linkedin.com/feed/update/urn:li:activity:7006452296599408640"
"urn:li:activity:7006188176893448192","It is okay to want to sl...","Text","Ankur","Warikoo","299895","3893","102","41",0.013458043648610347,0,0,0,"","","2022-12-07 15:06:55","https://www.linkedin.com/feed/update/urn:li:activity:7006188176893448192"
"urn:li:activity:7006090040191692800","A simple yet powerful pr...","Image","Ankur","Warikoo","283900","4698","175","47",0.0173300457907714,0,4,0,"work,productivity,success,warikoo","","2022-12-07 08:55:45","https://www.linkedin.com/feed/update/urn:li:activity:7006090040191692800"
"urn:li:activity:7006083052019838977","Who knew I would produce...","Text","Ankur","Warikoo","44402","307","21","0",0.007387054637178506,0,0,0,"","","2022-12-07 08:25:14","https://www.linkedin.com/feed/update/urn:li:activity:7006083052019838977"
"urn:li:activity:7005901343190069248","Have you ever thought ho...","Image","Ankur","Warikoo","52796","339","14","0",0.006686112584286689,0,0,1,"","","2022-12-06 20:15:27","https://www.linkedin.com/feed/update/urn:li:activity:7005901343190069248"
"urn:li:activity:7005866536171134976","Respect doesn’t come fro...","Text","Ankur","Warikoo","55222","292","19","0",0.00563181340769983,0,0,0,"","","2022-12-06 18:16:19","https://www.linkedin.com/feed/update/urn:li:activity:7005866536171134976"
"urn:li:activity:7005825804962041856","My first job, before I w...","Image","Ankur","Warikoo","340990","2822","142","26",0.008768585589020206,0,0,0,"","","2022-12-06 15:05:19","https://www.linkedin.com/feed/update/urn:li:activity:7005825804962041856"
"urn:li:activity:7005727660236517376","I HATE RESUMES! 

I alwa...","Image","Ankur","Warikoo","341254","3103","189","73",0.009860690277623119,0,4,0,"hiring,people,interview,warikoo","","2022-12-06 09:05:01","https://www.linkedin.com/feed/update/urn:li:activity:7005727660236517376"
"urn:li:activity:7005532380048322560","The stuff that dreams ar...","Text","Ankur","Warikoo","17685","69","9","0",0.004410517387616625,0,0,0,"","","2022-12-05 20:26:40","https://www.linkedin.com/feed/update/urn:li:activity:7005532380048322560"
"urn:li:activity:7005463412763734016","All through school and c...","Image","Ankur","Warikoo","356088","5240","132","50",0.015226573206623082,0,4,0,"mistake,career,awareness,warikoo","","2022-12-05 15:44:11","https://www.linkedin.com/feed/update/urn:li:activity:7005463412763734016"
"urn:li:activity:7005370294538276864","3 ways to build a routin...","Document","Ankur","Warikoo","476000","2854","125","104",0.006476890756302521,0,4,0,"habits,life,timemanagement,warikoo","","2022-12-05 09:13:52","https://www.linkedin.com/feed/update/urn:li:activity:7005370294538276864"
"urn:li:activity:7005101013984534528","Almost 30-40% of the ema...","Text","Ankur","Warikoo","311070","3522","123","183",0.01230591185263767,0,4,0,"perspective,motivation,success,warikoo","","2022-12-04 15:34:40","https://www.linkedin.com/feed/update/urn:li:activity:7005101013984534528"
"urn:li:activity:7005002880319385600","","Image","Ankur","Warikoo","266413","5769","86","47",0.022153573586874514,0,0,0,"","","2022-12-04 09:26:43","https://www.linkedin.com/feed/update/urn:li:activity:7005002880319385600"
"urn:li:activity:7004814122202607617","“Who hurt you?”

In my l...","Text","Ankur","Warikoo","47073","194","7","1",0.004291207273808765,0,0,1,"","","2022-12-03 20:15:39","https://www.linkedin.com/feed/update/urn:li:activity:7004814122202607617"
"urn:li:activity:7004738635614818304","Within my first week of ...","Image","Ankur","Warikoo","255212","3861","63","22",0.015461655408052912,0,4,0,"people,life,success,warikoo","","2022-12-03 15:16:55","https://www.linkedin.com/feed/update/urn:li:activity:7004738635614818304"
"urn:li:activity:7004640489962369024","If you are in your 20s, ...","Image","Ankur","Warikoo","249888","3813","130","24",0.015875112050198488,0,4,0,"habits,life,awareness,warikoo","","2022-12-03 08:54:02","https://www.linkedin.com/feed/update/urn:li:activity:7004640489962369024"
"urn:li:activity:7004416704898306049","Success isn't final...

...","Text","Ankur","Warikoo","29257","270","20","0",0.009912157774207881,0,0,0,"","","2022-12-02 18:00:02","https://www.linkedin.com/feed/update/urn:li:activity:7004416704898306049"
"urn:li:activity:7004376201632886785","LinkedIn, which scenario...","Poll","Ankur","Warikoo","676194","540","315","14",0.0012851341478924687,0,4,0,"job,money,choices,warikoo","","2022-12-02 15:07:37","https://www.linkedin.com/feed/update/urn:li:activity:7004376201632886785"
"urn:li:activity:7004285519085887488","Stop caring about these ...","Video (native)","Ankur","Warikoo","379100","3595","140","193",0.010361382221049854,0,4,0,"life,people,happiness,warikoo","","2022-12-02 09:25:38","https://www.linkedin.com/feed/update/urn:li:activity:7004285519085887488"
"urn:li:activity:7004089501392211968","I loved every second of ...","Image","Ankur","Warikoo","39156","367","24","1",0.010011237102870569,0,4,1,"book,readers,getepicshitdone,warikoo","","2022-12-01 20:24:57","https://www.linkedin.com/feed/update/urn:li:activity:7004089501392211968"
"urn:li:activity:7004013979828162560","Over the past decade, I ...","Image","Ankur","Warikoo","102153","1187","33","5",0.011991816197272718,0,4,0,"leadership,mistakes,people,warikoo","","2022-12-01 15:19:39","https://www.linkedin.com/feed/update/urn:li:activity:7004013979828162560"
"urn:li:activity:7003919789660286976","12 lessons I have learnt...","Document","Ankur","Warikoo","325507","2274","102","134",0.007711047688682578,0,4,0,"career,lessons,work,warikoo","","2022-12-01 09:27:38","https://www.linkedin.com/feed/update/urn:li:activity:7003919789660286976"
"urn:li:activity:7003651340086185984","The single biggest thing...","Text","Ankur","Warikoo","105872","1044","52","21",0.010550476046546773,0,4,0,"success,career,trust,warikoo","","2022-11-30 15:40:49","https://www.linkedin.com/feed/update/urn:li:activity:7003651340086185984"
"urn:li:activity:7003553193645236224","“I’ve wasted 11 years of...","Image","Ankur","Warikoo","259245","3860","128","35",0.015518139211942372,0,4,0,"regret,lifelessons,future,warikoo","","2022-11-30 08:57:41","https://www.linkedin.com/feed/update/urn:li:activity:7003553193645236224"
"urn:li:activity:7003396571006418944","Reality of lif...","Text","Ankur","Warikoo","232092","4111","52","0",0.017936852627406373,0,0,0,"","","2022-11-29 22:37:08","https://www.linkedin.com/feed/update/urn:li:activity:7003396571006418944"
"urn:li:activity:7003364474879381505","I started my first job r...","Image","Ankur","Warikoo","126980","1672","79","2",0.013805323673019372,0,4,0,"job,learning,gratitude,warikoo","","2022-11-29 20:38:07","https://www.linkedin.com/feed/update/urn:li:activity:7003364474879381505"
"urn:li:activity:7003288952530972672","If you ever feel that no...","Article","Ankur","Warikoo","31795","136","15","1",0.004780625884573046,0,0,0,"","","2022-11-29 15:17:28","https://www.linkedin.com/feed/update/urn:li:activity:7003288952530972672"
"urn:li:activity:7003190805863510017","I was speaking to one of...","Image","Ankur","Warikoo","317319","3261","195","65",0.011096089424207187,0,4,0,"life,awareness,choices,warikoo","","2022-11-29 09:01:48","https://www.linkedin.com/feed/update/urn:li:activity:7003190805863510017"
"urn:li:activity:7002983545648361473","What makes you win, is t...","Text","Ankur","Warikoo","34076","286","20","0",0.008979927221504872,0,0,0,"","","2022-11-28 18:55:59","https://www.linkedin.com/feed/update/urn:li:activity:7002983545648361473"
"urn:li:activity:7002928039487520768","“An exam will determine ...","Image","Ankur","Warikoo","230862","3097","190","35",0.014389548734741967,0,4,0,"success,failure,life,warikoo","","2022-11-28 15:46:41","https://www.linkedin.com/feed/update/urn:li:activity:7002928039487520768"
"urn:li:activity:7002890234203893760","Just 10 months back Do E...","Text","Ankur","Warikoo","8720","61","9","0",0.008027522935779817,0,1,0,"1","","2022-11-28 12:38:59","https://www.linkedin.com/feed/update/urn:li:activity:7002890234203893760"
"urn:li:activity:7002890632742473728","What a wonderful take on...","Text","Ankur","Warikoo","29653","403","31","0",0.014635955889791927,0,0,0,"","","2022-11-28 12:38:59","https://www.linkedin.com/feed/update/urn:li:activity:7002890632742473728"
"urn:li:activity:7002846346441318400","Letters to our kids that...","Document","Ankur","Warikoo","336482","2454","125","35",0.007768617637793403,0,4,0,"kids,love,family,warikoo","","2022-11-28 10:04:43","https://www.linkedin.com/feed/update/urn:li:activity:7002846346441318400"
"urn:li:activity:7002844250220474368","How I read my books

A t...","Document","Ankur","Warikoo","112","2","1","0",0.026785714285714284,0,4,0,"books,process,reading,warikoo","","2022-11-28 09:34:23","https://www.linkedin.com/feed/update/urn:li:activity:7002844250220474368"
"urn:li:activity:7002564209691537408","One of the biggest mista...","Text","Ankur","Warikoo","162131","1949","71","25",0.0126132571809216,0,4,0,"personaldevelopment,mindfulness,mistakes,warikoo","","2022-11-27 15:14:39","https://www.linkedin.com/feed/update/urn:li:activity:7002564209691537408"
"urn:li:activity:7002495506740310016","4 years back :))

Jogi i...","Text","Ankur","Warikoo","14258","158","9","0",0.011712722682003086,0,0,0,"","","2022-11-27 10:41:24","https://www.linkedin.com/feed/update/urn:li:activity:7002495506740310016"
"urn:li:activity:7002466082762448896","","Image","Ankur","Warikoo","407689","10050","132","40",0.025073033611404772,0,0,0,"","","2022-11-27 08:32:31","https://www.linkedin.com/feed/update/urn:li:activity:7002466082762448896"
"urn:li:activity:7002277319671205888","“Who is your best friend...","Text","Ankur","Warikoo","30120","113","14","1",0.004249667994687915,0,0,1,"","","2022-11-26 20:21:45","https://www.linkedin.com/feed/update/urn:li:activity:7002277319671205888"
"urn:li:activity:7002201862896529408","If there’s one thing I c...","Image","Ankur","Warikoo","219755","3407","124","63",0.01635457668767491,0,4,0,"lifelessons,success,awareness,warikoo","","2022-11-26 15:28:51","https://www.linkedin.com/feed/update/urn:li:activity:7002201862896529408"
"urn:li:activity:7002103707450392576","For the longest time as ...","Image","Ankur","Warikoo","374637","6989","131","8",0.019026417572209898,0,4,0,"life,gratitude,university,warikoo","","2022-11-26 08:35:07","https://www.linkedin.com/feed/update/urn:li:activity:7002103707450392576"
"urn:li:activity:7001892125575426048","Relationships was my fav...","Text","Ankur","Warikoo","19639","177","11","0",0.009572788838535568,0,0,0,"","","2022-11-25 18:51:31","https://www.linkedin.com/feed/update/urn:li:activity:7001892125575426048"
"urn:li:activity:7001836102420426752","Who have you learnt the ...","Poll","Ankur","Warikoo","694279","557","180","5",0.0010687346153347573,0,4,0,"learning,life,awareness,warikoo","","2022-11-25 15:05:42","https://www.linkedin.com/feed/update/urn:li:activity:7001836102420426752"
"urn:li:activity:7001750675218939904","If you think you are fai...","Video (native)","Ankur","Warikoo","138694","1240","75","42",0.009784129089939003,0,4,0,"failure,life,awarenesss,warikoo","","2022-11-25 09:27:29","https://www.linkedin.com/feed/update/urn:li:activity:7001750675218939904"
"urn:li:activity:7001552765965512704","My second book, GET EPIC...","Image","Ankur","Warikoo","62364","468","54","1",0.008386248476685267,0,5,1,"1,readers,book,getepicshitdone,warikoo","","2022-11-24 20:14:15","https://www.linkedin.com/feed/update/urn:li:activity:7001552765965512704"
"urn:li:activity:7001504954439876609","To not have a plan…

Won...","Text","Ankur","Warikoo","24937","255","39","0",0.011789710069374824,0,0,0,"","","2022-11-24 17:11:22","https://www.linkedin.com/feed/update/urn:li:activity:7001504954439876609"
"urn:li:activity:7001477126012973056","I have always been a dre...","Image","Ankur","Warikoo","266006","4380","109","12",0.01692067096230912,0,4,0,"startup,failure,work,warikoo","","2022-11-24 15:13:43","https://www.linkedin.com/feed/update/urn:li:activity:7001477126012973056"
"urn:li:activity:7001390928040988672","20 uncomfortable truths ...","Document","Ankur","Warikoo","708513","5215","194","319",0.008084537616105844,0,4,0,"life,awareness,world,warikoo","","2022-11-24 09:19:01","https://www.linkedin.com/feed/update/urn:li:activity:7001390928040988672"
"urn:li:activity:7001114665799856129","You are in the wrong car...","Text","Ankur","Warikoo","251301","3184","227","41",0.013736515175029149,0,0,0,"","","2022-11-23 15:15:39","https://www.linkedin.com/feed/update/urn:li:activity:7001114665799856129"
"urn:li:activity:7001016563298381824","At my previous startup, ...","Image","Ankur","Warikoo","281645","4501","109","1",0.0163716735606881,0,4,0,"team,leadership,people,warikoo","","2022-11-23 08:44:06","https://www.linkedin.com/feed/update/urn:li:activity:7001016563298381824"
"urn:li:activity:7000827847946694657","In my 20s, I tried reall...","Image","Ankur","Warikoo","310453","4878","158","32",0.01632453221582655,0,4,0,"happiness,life,people,warikoo","","2022-11-22 20:11:28","https://www.linkedin.com/feed/update/urn:li:activity:7000827847946694657"
"urn:li:activity:7000752363519008768","""Isn’t having a routine ...","Image","Ankur","Warikoo","151237","1363","61","2",0.009428909592229414,0,0,1,"","","2022-11-22 15:06:48","https://www.linkedin.com/feed/update/urn:li:activity:7000752363519008768"
"urn:li:activity:7000654201177452544","""What the f***! Are we s...","Image","Ankur","Warikoo","495808","5641","171","41",0.011804972892732671,0,4,0,"leadership,culture,people,warikoo","","2022-11-22 08:47:24","https://www.linkedin.com/feed/update/urn:li:activity:7000654201177452544"
"urn:li:activity:7000389961464098816","When I had dropped out o...","Image","Ankur","Warikoo","1371249","26983","401","137",0.02007002375206837,0,4,0,"life,respect,people,warikoo","","2022-11-21 15:17:35","https://www.linkedin.com/feed/update/urn:li:activity:7000389961464098816"
"urn:li:activity:7000292792635674624","If one could read only 1...","Document","Ankur","Warikoo","1487043","9589","639","499",0.007213644797090602,0,4,0,"readers,books,life,warikoo","","2022-11-21 08:42:07","https://www.linkedin.com/feed/update/urn:li:activity:7000292792635674624"
"urn:li:activity:7000027557425221632","Most parents make it har...","Text","Ankur","Warikoo","226220","3160","90","20",0.014454955353196004,0,0,0,"","","2022-11-20 15:21:25","https://www.linkedin.com/feed/update/urn:li:activity:7000027557425221632"
"urn:li:activity:7000010329057308672","Before you assume, try t...","Text","Ankur","Warikoo","33222","249","26","0",0.00827764734212269,0,0,0,"","","2022-11-20 14:02:25","https://www.linkedin.com/feed/update/urn:li:activity:7000010329057308672"
"urn:li:activity:6999929428537425920","","Image","Ankur","Warikoo","162622","3433","35","31",0.021516154025900555,0,0,0,"","","2022-11-20 08:41:17","https://www.linkedin.com/feed/update/urn:li:activity:6999929428537425920"
"urn:li:activity:6999740667300069376","For a long time, I strug...","Text","Ankur","Warikoo","52353","356","27","3",0.007373025423566939,0,0,1,"","","2022-11-19 20:17:47","https://www.linkedin.com/feed/update/urn:li:activity:6999740667300069376"
"urn:li:activity:6999665173628088320","Until 32 years of age, I...","Image","Ankur","Warikoo","486427","6047","192","41",0.012910467552171241,0,4,0,"health,life,fitness,warikoo","","2022-11-19 15:01:46","https://www.linkedin.com/feed/update/urn:li:activity:6999665173628088320"
"urn:li:activity:6999578200058040320","It was 2015 when I met C...","Image","Ankur","Warikoo","70957","630","42","4",0.009526896571162817,1,5,0,"1,consistency,books,doepicshit,warikoo","","2022-11-19 09:32:59","https://www.linkedin.com/feed/update/urn:li:activity:6999578200058040320"
"urn:li:activity:6999303745373130752","LinkedIn, which one woul...","Poll","Ankur","Warikoo","660068","486","97","4",0.0008893023143070108,0,4,0,"money,time,choices,warikoo","","2022-11-18 15:10:51","https://www.linkedin.com/feed/update/urn:li:activity:6999303745373130752"
"urn:li:activity:6999208232418177024","When you identify what i...","Video (native)","Ankur","Warikoo","210880","1920","111","98",0.010095789074355084,0,4,0,"success,career,awareness,warikoo","","2022-11-18 08:51:49","https://www.linkedin.com/feed/update/urn:li:activity:6999208232418177024"
"urn:li:activity:6999024815290355713","I feel I am the parent o...","Image","Ankur","Warikoo","64426","1161","49","1",0.018796759072424177,1,3,0,"books,doepicshit,warikoo","","2022-11-17 20:45:36","https://www.linkedin.com/feed/update/urn:li:activity:6999024815290355713"
"urn:li:activity:6999015978466467841","I feel I am the parent o...","Image","Ankur","Warikoo","5195","80","3","0",0.015976900866217517,1,3,0,"books,doepicshit,warikoo","","2022-11-17 20:13:35","https://www.linkedin.com/feed/update/urn:li:activity:6999015978466467841"
